username,totalStageScore,totalGameProgress,totalPlayTime,playTimeHours,totalTimesStageClear,totalCommandExecuteTimes,perfectClearRate,hintUsageRate,efficiencyScore,progressSegment,learningStyle,engagementLevel
D0982730,100750,44,5152,1.431111111111111,15,163,89.42307692307693,1.9230769230769231,30.745341614906835,Intermediate,Master,Medium
D1051888,90000,38,5715,1.5875,14,157,94.94949494949495,1.0101010101010102,23.937007874015748,Intermediate,Master,Medium
D0957411,131750,55,4980,1.3833333333333333,23,175,96.8944099378882,1.8633540372670807,39.75903614457832,Advanced,Master,Medium
D1018734,111000,50,5079,1.4108333333333334,18,239,84.92063492063492,5.555555555555555,35.44004725339634,Advanced,Master,Medium
D1060003,20000,14,762,0.21166666666666667,5,18,72.0,20.0,66.14173228346456,Beginner,Balanced,Low
D1059887,104000,44,5384,1.4955555555555555,15,141,100.0,0.0,29.420505200594356,Intermediate,Master,Medium
d1031329,104750,47,5102,1.4172222222222222,16,191,91.07142857142857,6.25,33.16346530772246,Intermediate,Master,Medium
cookie,118250,50,5954,1.653888888888889,17,146,97.47899159663865,0.0,30.231776956667787,Advanced,Master,Medium
D1051092,104000,44,3248,0.9022222222222223,16,134,99.09909909909909,0.0,48.768472906403936,Intermediate,Master,Low
user1,117750,50,5628,1.5633333333333332,18,165,98.4126984126984,0.0,31.982942430703627,Advanced,Master,Medium
D1093071,44500,20,3083,0.8563888888888889,7,69,83.6734693877551,12.244897959183673,23.35387609471294,Beginner,Master,Low
D0948466,78000,32,5011,1.3919444444444444,11,110,94.9367088607595,0.0,22.989423268808622,Intermediate,Master,Medium
xin,16500,11,968,0.2688888888888889,5,16,73.07692307692307,19.230769230769234,40.90909090909091,Beginner,Balanced,Low
D0987322,119000,50,4199,1.166388888888889,17,133,100.0,0.0,42.86734936889736,Advanced,Master,Medium
tom134679,80000,35,4179,1.1608333333333334,12,69,95.06172839506173,0.0,30.15075376884422,Intermediate,Master,Medium
k,10000,8,4828,1.3411111111111111,4,10,64.70588235294117,35.294117647058826,5.965202982601491,Beginner,Hint-Dependent,Medium
D0948155,117500,50,3926,1.0905555555555555,19,186,94.61538461538461,0.7692307692307693,45.848191543555785,Advanced,Master,Medium
Thanathiti,12750,8,370,0.10277777777777777,3,4,85.71428571428571,7.142857142857142,77.83783783783784,Beginner,Master,Low
D1051432,136000,58,4645,1.2902777777777779,21,145,99.3006993006993,0.0,44.951560818083955,Advanced,Master,Medium
D0948214,119000,50,4801,1.333611111111111,21,189,98.62068965517241,0.0,37.492189127265156,Advanced,Master,Medium
Monstung,45250,20,5103,1.4175,7,65,81.63265306122449,4.081632653061225,14.109347442680777,Beginner,Master,Medium
D0948019,119000,50,4718,1.3105555555555555,22,185,98.11320754716981,0.628930817610063,38.15175922000848,Advanced,Master,Medium
D1051652,63750,26,3162,0.8783333333333333,10,100,95.52238805970148,2.9850746268656714,29.601518026565465,Intermediate,Master,Low
tukta26884,46250,20,5818,1.616111111111111,7,58,77.55102040816327,0.0,12.37538673083534,Beginner,Independent,Medium
D1076775,6000,2,987,0.27416666666666667,1,0,42.857142857142854,0.0,7.2948328267477205,Beginner,Independent,Low
D0916167,57500,23,1765,0.49027777777777776,8,67,96.55172413793103,0.0,46.91218130311615,Beginner,Master,Low
d1051284,70250,29,5585,1.551388888888889,12,115,92.6829268292683,2.4390243902439024,18.692927484333033,Intermediate,Master,Medium
d1090685,110750,50,5470,1.5194444444444444,18,138,95.6896551724138,2.586206896551724,32.90676416819013,Advanced,Master,Medium
D1051492,130250,58,4525,1.2569444444444444,21,162,92.80575539568345,5.0359712230215825,46.14364640883978,Advanced,Master,Medium
thomasvi,87250,38,2685,0.7458333333333333,14,125,92.78350515463917,6.185567010309279,50.94972067039106,Intermediate,Master,Low
tranhoanglong,84000,41,3496,0.9711111111111111,14,110,93.10344827586206,2.2988505747126435,42.21967963386727,Intermediate,Master,Low
Thach Ngoc Phu,6500,2,450,0.125,1,0,71.42857142857143,0.0,16.0,Beginner,Independent,Low
TranCongHau,71000,29,1796,0.4988888888888889,11,60,92.40506329113924,7.59493670886076,58.12917594654788,Intermediate,Master,Low
dat,6000,2,285,0.07916666666666666,1,0,57.14285714285714,14.285714285714285,25.263157894736842,Beginner,Balanced,Low
tranhoangoanh,39250,17,1868,0.5188888888888888,6,43,90.2439024390244,2.4390243902439024,32.76231263383298,Beginner,Master,Low
PhanHoangDinh,2750,2,571,0.15861111111111112,1,0,28.57142857142857,57.14285714285714,12.609457092819614,Beginner,Hint-Dependent,Low
TranVuNgocHuynh,63000,26,1913,0.5313888888888889,11,60,94.5945945945946,0.0,48.928384736016724,Intermediate,Master,Low
huynhduongtanphat,38500,17,1500,0.4166666666666667,6,50,90.2439024390244,4.878048780487805,40.8,Beginner,Master,Low
Le Trung Hieu,7000,2,373,0.10361111111111111,2,0,92.85714285714286,0.0,19.302949061662197,Beginner,Master,Low
Le trung hieu,117500,50,2404,0.6677777777777778,22,152,99.30555555555556,0.6944444444444444,74.87520798668885,Advanced,Master,Low
THACH NGUYEN QUE ANH,46250,20,3890,1.0805555555555555,8,62,85.18518518518519,12.962962962962962,18.508997429305914,Beginner,Master,Medium
huynhchidat,46750,20,1969,0.5469444444444445,8,49,87.5,3.571428571428571,36.56678517013712,Beginner,Master,Low
HuynhLeNgocTrinh,146750,67,8431,2.3419444444444446,24,340,92.40506329113924,0.6329113924050633,28.60870596607757,Advanced,Master,High
TranThiYenKhoa,6000,5,1300,0.3611111111111111,2,0,40.0,40.0,13.846153846153847,Beginner,Hint-Dependent,Low
Nguyen Thi Thuy Duy,85750,38,5287,1.468611111111111,13,154,89.01098901098901,5.4945054945054945,25.87478721392094,Intermediate,Master,Medium
ledanghuy,47500,20,2483,0.6897222222222222,7,58,87.75510204081633,0.0,28.99718082964156,Beginner,Master,Low
phan tran truong huy ,6500,2,687,0.19083333333333333,1,0,71.42857142857143,0.0,10.480349344978166,Beginner,Independent,Low
thachthingoctram,67000,32,3449,0.9580555555555555,11,70,97.10144927536231,2.898550724637681,33.40098579298348,Intermediate,Master,Low
NguyenTruongMinhCang,7000,2,437,0.1213888888888889,3,0,66.66666666666666,4.761904761904762,16.475972540045767,Beginner,Independent,Low
TuGiaDat,66750,29,6890,1.913888888888889,12,134,85.56701030927834,10.309278350515463,15.152394775036283,Intermediate,Master,Medium
nguyenhoanthong,134750,58,7633,2.120277777777778,28,276,92.52873563218391,4.022988505747127,27.354906327787237,Advanced,Master,High
lamminhthien,7000,2,177,0.049166666666666664,2,0,85.71428571428571,0.0,40.67796610169492,Beginner,Master,Low
Le Nguyen Minh Tan,7000,2,76,0.021111111111111112,1,0,100.0,0.0,94.73684210526315,Beginner,Master,Low
NguyenDuyTan,7000,2,59,0.01638888888888889,1,0,100.0,0.0,122.03389830508473,Beginner,Master,Low
HuynhThienSonTTA,6750,2,67,0.01861111111111111,1,0,85.71428571428571,0.0,107.46268656716418,Beginner,Master,Low
dinhminhven,7000,2,183,0.050833333333333335,3,0,90.47619047619048,0.0,39.34426229508197,Beginner,Master,Low
NguyenAnNinhTTA,7000,2,173,0.04805555555555555,2,0,92.85714285714286,0.0,41.61849710982659,Beginner,Master,Low
truongquangkhai,58250,26,3037,0.8436111111111111,11,82,82.89473684210526,13.157894736842104,30.819888047415212,Intermediate,Master,Low
Dang Thai Bao,62750,26,3120,0.8666666666666667,11,88,84.28571428571429,8.571428571428571,30.0,Intermediate,Master,Low
NguyenThiHanDu,46750,20,3238,0.8994444444444445,8,71,88.67924528301887,3.7735849056603774,22.23594811612106,Beginner,Master,Low
phankhanhduy,7000,2,538,0.14944444444444444,2,0,71.42857142857143,7.142857142857142,13.382899628252789,Beginner,Balanced,Low
nguyenthixuannhi,7000,2,860,0.2388888888888889,2,0,100.0,0.0,8.372093023255813,Beginner,Master,Low
NguyenGiaNguyen,7000,2,74,0.020555555555555556,1,0,100.0,0.0,97.29729729729729,Beginner,Master,Low
nguyenminhthuan,6500,2,407,0.11305555555555556,1,0,71.42857142857143,0.0,17.69041769041769,Beginner,Independent,Low
PhamBaHaoLong,7000,2,98,0.02722222222222222,1,0,100.0,0.0,73.46938775510205,Beginner,Master,Low
nguyenbuithieugia,8500,5,571,0.15861111111111112,2,0,80.0,20.0,31.523642732049034,Beginner,Master,Low
