dataVersion,ownerPlayerId,ownerUsername,stageName,stageType,rank,playerName,playerStar,playerScore,playerClearTime
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Merge Conflicts (Practice),Branch,1,c,4,8500,471
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Remote Repository (Practice),Remote,1,c,4,6000,33
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Create Remote Repository (Practice),Remote,2,c,3,5750,48
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Push to Remote Branches (Practice),Remote,1,c,4,6750,87
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Push to Remote Branches (Practice),Remote,2,c,4,6750,99
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Push to Remote Branches (Practice),Remote,3,c,4,6500,147
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Keep Branches in Sync (Practice),Remote,1,c,1,3750,157
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Keep Branches in Sync (Practice),Remote,2,c,1,3500,123
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Preparation for Merging (Practice),Remote,1,c,2,6000,130
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Preparation for Merging (Practice),Remote,2,c,1,5750,115
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Creating a Pull Request (Practice),Remote,1,c,4,11000,289
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Creating a Pull Request (Practice),Remote,2,c,3,10750,159
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Review and Merge Pull Requests (Practice),Remote,1,c,4,5000,54
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Review and Merge Pull Requests (Practice),Remote,2,c,4,5000,122
Version-1,65bd08ad51ce7228bbeb3ee8,ccc,Review and Merge Pull Requests (Practice),Remote,3,c,4,4750,115
Version-1,65c07fd7e5681b767119adc4,Player Name,Game Introduction (Tutorial),Basic,1,Player Name,1,5250,116
Version-1,65c07fd7e5681b767119adc4,Player Name,Game Introduction (Tutorial),Basic,2,Player Name,1,5250,231
Version-1,65c07fd7e5681b767119adc4,Player Name,Game Introduction (Tutorial),Basic,3,Player Name,1,5000,44
Version-1,65c07fd7e5681b767119adc4,Player Name,Version Control and Git (Tutorial),Basic,1,Player Name,4,3000,64
Version-1,65c07fd7e5681b767119adc4,Player Name,Create Local Repository (Tutorial),Basic,1,Player Name,4,4000,79
Version-1,65c07fd7e5681b767119adc4,Player Name,Create Local Repository (Tutorial),Basic,2,Player Name,3,3500,125
Version-1,65f72f34e5681b767119d8c9,eee,Game Introduction (Tutorial),Basic,1,e,1,1000,123
Version-1,65f72f34e5681b767119d8c9,eee,Version Control and Git (Tutorial),Basic,1,e,3,2000,112
